 ,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
Sales,1967,2184,4238,2878,3815,4197,5914,7052,9299,16630,11611,7883,6155,7341,4928,7895,9829,8160,7795,9438,14001,21353,17692,18556,14387,23064,33877,29915,33423,38059,33491,43793,61916,73056,52705,36330,24500,35089,36954,36422,47777,44196,36298,27274,68475,78917,69386,44531,37725,34223,62632,95872,96280,113509,70998
Inflation,100.7,101.2,101.7,102.2,102.4,102.6,102.9,102.9,102.6,102.5,102.6,103.4,104.3,104.7,104.6,103.4,102.9,103.3,103,102.9,103.2,103.1,103,102.4,102.6,102.4,103.2,104.3,104.7,104.4,105,105.5,105.9,106.8,107.8,108.6,109.4,108.5,111,112.4,113.9,115.5,115.6,116.1,117.2,117.9,117.5,116.6,116.6,118.4,116.1,114.7,113,111.5,110.8
Unemployment,6.1,6.1,5.9,5.6,5.4,5.3,5.2,5.2,5.1,5,5.1,5.2,5.5,5.5,5.4,5.8,6,6.1,6.1,6.1,6.1,6.1,6.1,6.3,6.5,6.6,6.4,6.3,6.1,6,5.9,5.8,5.6,5.5,5.4,5.8,5.9,5.9,5.8,5.6,5.4,5.2,5.2,5.2,5.1,5.1,5.1,5.2,5.5,5.5,5.4,5.2,5.1,5,5
Temperature ,-3.0691176470588233,1.8850746268656715,4.737878787878787,8.734848484848484,11.668181818181818,20.84375,18.0796875,18.996923076923075,13.167692307692308,9.652307692307692,5.936507936507937,2.2125,0.9222222222222223,2.8746031746031746,3.579032258064516,7.852459016393443,10.452459016393442,17.475806451612904,17.904838709677417,19.0,14.057377049180328,9.603333333333333,4.4766666666666675,1.2483333333333335,-1.7824561403508772,-2.1543859649122807,2.223728813559322,5.575862068965517,11.700000000000001,18.659322033898306,20.61864406779661,16.361016949152543,12.730508474576272,7.944067796610169,4.349152542372882,-1.553448275862069,-0.21428571428571427,2.2145454545454544,1.8315789473684212,5.955357142857143,13.21578947368421,18.489285714285717,18.594736842105263,19.636842105263156,11.434545454545454,10.156363636363636,3.5653846153846156,-0.07307692307692307,2.082692307692308,0.37884615384615383,3.8442307692307693,7.065384615384615,12.15,17.042307692307695,19.12156862745098
