Index,Name,Z_Classification,Subgroup_2,Subgroup_3,Subgroup_4,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,total amount
 ZB5K308-4XL, FABIAN protective overalls dark gray 4XL (60), B, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE Dungarees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,29,50,27,39,12,50,6,7,4,1,4,8,35,42,30,15,14,6,0,0,0,26,4,4,28,7,41,29,0,567
 ZB5K282-1-XL, EDGAR II protective sweatshirt dark beige XL (54), B, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE SWEATSHIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,21,1,22,13,35,55,28,29,14,4,12,13,13,7,4,4,7,50,8,13,2,5,9,16,50,19,34,21,39,5,564
 ZB5K415-XL, TOBIAS cotton polo green XL (54), C, BODY PROTECTION, CLOTHES, POLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,39,7,59,26,67,2,0,1,23,0,4,67,23,19,1,9,1,4,28,2,15,9,39,7,36,11,54,6,570
 ZB5K564-45, HOSEL safety shoes SB SRA black/green 45, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,43,6,6,28,18,13,15,18,1,28,19,21,21,5,5,12,13,9,8,6,1,11,27,28,15,6,9,8,14,16,41,8,7,8,5,550
 ZB5K359-L, RUWER protective sweatshirt dark green L (52), D, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE SWEATSHIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,9,8,12,15,2,2,4,1,1,2,0,8,57,5,20,71,2,1,5,1,5,20,9,29,4,2,2,5,5,7,8,25,0,0,1,6,55,55,47,21,553
 ZB5K402-2XL, SEEVE polyester T-shirt graphite 2XL (56), D, BODY PROTECTION, CLOTHES, T-SHIRT,0,0,0,0,0,95,9,18,8,1,4,4,2,6,1,1,19,9,14,4,0,4,1,2,0,2,8,1,4,20,9,26,6,0,0,7,1,0,1,1,53,13,12,37,5,44,2,1,7,16,1,5,8,2,7,55,0,557
 ZB5K246-M, NIMS warning rain jacket yellow M (50), B, BODY PROTECTION, WARNING CLOTHING, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,7,8,12,5,1,0,2,0,2,12,22,26,6,2,30,25,19,7,8,8,6,2,54,26,12,7,33,22,23,7,2,9,8,19,36,29,6,2,9,12,549
 ZB5K033, BANFE tinted mesh face shield uni, C, HEAD PROTECTION, COVER, BANFE FACE COVER,0,18,8,0,296,6,2,0,19,5,1,0,0,0,0,0,0,6,6,34,23,5,7,7,7,1,6,5,0,0,6,0,2,8,1,0,0,0,0,0,14,4,0,0,12,0,0,0,1,4,4,0,9,5,18,13,1,562
 ZB5K810-2XL, WURNITZ elastic protective shorts dark gray 2XL (56), N, BODY PROTECTION, PROTECTIVE CLOTHING, SHORTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,193,23,6,539
 ZB5K421-M,ILM long sleeve cotton T-shirt white M (50), C, BODY PROTECTION, CLOTHES, LENGTH T-SHIRT SLEEVE,0,0,0,0,0,0,0,4,11,75,4,1,0,1,9,5,7,0,0,1,1,6,11,5,1,2,2,4,1,12,1,77,101,16,7,6,0,13,4,0,1,12,12,0,2,21,8,6,13,8,16,9,11,11,34,8,7,565
